,right,strike,expiry,bid_price,ask_price,delta,gamma,theta,vega,rho,ImV,t,k
10001243,0,2.7,2018-09-26,0.0297,0.0297,0.195260514653311,0.951288957548146,-0.183009210622062,0.321318924078626,0.10337257485259,0.249090844943656,0.2328767123287671,0.11121348778286298
10001244,1,2.6,2018-09-26,0.245,0.245,-0.682368487839991,1.09750368292104,-0.189274571381961,0.415132678840613,-0.443429837411488,0.278942605359102,0.2328767123287671,0.07347315980001591
10001245,1,2.65,2018-09-26,0.2858,0.2858,-0.722908385305,0.99885927096924,-0.177702108292673,0.390003459848844,-0.475958413859954,0.287937395641883,0.2328767123287671,0.0925213547707102
10001246,1,2.7,2018-09-26,0.3298,0.3298,-0.753721782022259,0.897968794939306,-0.170714651949526,0.367096669504112,-0.503742898181899,0.301476258489436,0.2328767123287671,0.11121348778286298
10001275,0,2.55,2018-09-26,0.0587,0.0587,0.34015088725194,1.32891218941824,-0.237181983644408,0.426750928292025,0.178437544679072,0.236816580999187,0.2328767123287671,0.054055073942914304
10001276,1,2.55,2018-09-26,0.2095,0.2095,-0.630373694575242,1.16679605989221,-0.207452135777344,0.439527983906323,-0.405678505138741,0.27779568423753,0.2328767123287671,0.054055073942914304
10001281,0,2.5,2018-09-26,0.0732,0.0732,0.402805935847105,1.42853819203924,-0.249325465372044,0.450705141233347,0.210436590879999,0.232666884041192,0.2328767123287671,0.03425244664673457
10001282,1,2.5,2018-09-26,0.1746,0.1746,-0.576266059252218,1.2347597961749,-0.216881076602969,0.456046326273878,-0.366869446224072,0.272370707205154,0.2328767123287671,0.03425244664673457
10001311,0,2.45,2018-09-26,0.0923,0.0923,0.472909347619132,1.47519960124592,-0.25915773880511,0.463489867653915,0.245561696477393,0.231698581749662,0.2328767123287671,0.01404973932921509
10001312,1,2.45,2018-09-26,0.1427,0.1427,-0.516981067731649,1.27903904474458,-0.222092458125594,0.464140475008093,-0.32584282211174,0.267608286614467,0.2328767123287671,0.01404973932921509
10001313,0,2.5,2018-12-26,0.1252,0.1252,0.465704332806724,1.03238040298896,-0.187541010240606,0.664005656756556,0.481065100514603,0.230457650166175,0.4821917808219178,0.026772994591940193
10001314,0,2.55,2018-12-26,0.1068,0.1068,0.417292748694537,1.01210483101104,-0.182048298997921,0.652095582961124,0.433674212192829,0.230857964854882,0.4821917808219178,0.046575621888119784
10001315,0,2.6,2018-12-26,0.0904,0.0904,0.37090919862357,0.979445701893722,-0.174294388156756,0.631266106654169,0.387662586065797,0.23093577156739,0.4821917808219178,0.06599370774522147
10001316,0,2.65,2018-12-26,0.0775,0.0775,0.329404969973758,0.928266732394927,-0.166848285162698,0.604564708359944,0.345631434586049,0.233361446098808,0.4821917808219178,0.08504190271591583
10001317,0,2.7,2018-12-26,0.0645,0.0645,0.288033170395223,0.878345480695103,-0.155462963025275,0.570022756088052,0.303804505845181,0.232533712157671,0.4821917808219178,0.10373403572806847
10001318,0,2.75,2018-12-26,0.0535,0.0535,0.250107243752908,0.819873549808772,-0.143448369077779,0.530995874884302,0.265024821587964,0.232061648832017,0.4821917808219178,0.1220831743962649
10001319,0,2.8,2018-12-26,0.045,0.045,0.217725735178449,0.754594045205065,-0.132689728003723,0.491703163730202,0.23147094796317,0.233479487379797,0.4821917808219178,0.1401016798989433
10001320,0,2.85,2018-12-26,0.0379,0.0379,0.189093431598431,0.6887200307712,-0.122069387397961,0.452008600556273,0.201605513559187,0.235159802264311,0.4821917808219178,0.1578012569983443
10001321,0,2.9,2018-12-26,0.0319,0.0319,0.163764868234289,0.624241805824336,-0.111621139029814,0.412680984141889,0.175051209333217,0.236875808404891,0.4821917808219178,0.17519299971021338
10001322,1,2.5,2018-12-26,0.2104,0.2104,-0.522318181004035,0.913508314323488,-0.135172508273281,0.665426676276795,-0.709667745873284,0.26100378477054,0.4821917808219178,0.026772994591940193
10001323,1,2.55,2018-12-26,0.2429,0.2429,-0.563767282631444,0.891809735580362,-0.13146588701036,0.657937771287384,-0.773648398743916,0.264345372600743,0.4821917808219178,0.046575621888119784
10001324,1,2.6,2018-12-26,0.276,0.276,-0.60402190120377,0.868146502786673,-0.124568153962781,0.643683590182429,-0.836530011288557,0.265667555455415,0.4821917808219178,0.06599370774522147
10001325,1,2.65,2018-12-26,0.3109,0.3109,-0.642056706304827,0.83704949337082,-0.116186803891499,0.623756987076416,-0.897708034277699,0.267007455277577,0.4821917808219178,0.08504190271591583
